"source_path","target_path","asset_type","category","ppu","pivot","atlas_group","addressable_key","owner_system","migration_status"
"python/assets/audio/sfx/inventory/open_inventory.wav","Assets/_Project/Audio/SFX/inventory/open_inventory.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/menu/vgmenuselect.ogg","Assets/_Project/Audio/SFX/menu/vgmenuselect.ogg","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/npc/barbol/attack/animal melee sound.wav","Assets/_Project/Audio/SFX/npc/barbol/attack/animal melee sound.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/npc/barbol/attack/melee sound.wav","Assets/_Project/Audio/SFX/npc/barbol/attack/melee sound.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/npc/barbol/attack/sword sound.wav","Assets/_Project/Audio/SFX/npc/barbol/attack/sword sound.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/npc/barbol/damage/recive_damage.ogg","Assets/_Project/Audio/SFX/npc/barbol/damage/recive_damage.ogg","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/01._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/01._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/02._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/02._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/03._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/03._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/04._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/04._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/05._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/05._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/06._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/06._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/07._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/07._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/08._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/08._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/09._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/09._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/10._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/10._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/11._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/11._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/12._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/12._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/13._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/13._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/14._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/14._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/15._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/15._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/16._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/16._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/17._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/17._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/18._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/18._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/19._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/19._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/20._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/20._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/21._damage_grunt_male (1).wav","Assets/_Project/Audio/SFX/player/damage/21._damage_grunt_male (1).wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/player/damage/22._damage_grunt_male.wav","Assets/_Project/Audio/SFX/player/damage/22._damage_grunt_male.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/spells/fireball/fireball.wav","Assets/_Project/Audio/SFX/spells/fireball/fireball.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/audio/sfx/spells/fireball/fireball_2.wav","Assets/_Project/Audio/SFX/spells/fireball/fireball_2.wav","Audio","sfx","","","","","AudioSystem","pending"
"python/assets/buildings/dummy.png","Assets/_Project/Art/Buildings/dummy.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/mine.png","Assets/_Project/Art/Buildings/mine.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/backgrounds/background lobby.png","Assets/_Project/Art/Buildings/backgrounds/background lobby.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/castles/castle_1.png","Assets/_Project/Art/Buildings/castles/castle_1.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/castles/castle_2.png","Assets/_Project/Art/Buildings/castles/castle_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
